@relation fuerza
@attribute fuerza numeric
@attribute angulo numeric
@attribute distancia numeric

@data
439.0,2.0,29.514854
287.0,72.0,20.84282
440.0,12.0,83.62151
287.0,3.0,19.050396
89.0,79.0,3.2391973
326.0,3.0,24.058773
269.0,70.0,21.517504
492.0,3.0,50.004257
317.0,5.0,33.129856
278.0,5.0,26.844727
167.0,13.0,20.878939
476.0,10.0,87.95866
476.0,22.0,99.633766
452.0,32.0,89.29485
287.0,5.0,27.80269
243.0,50.0,35.471416
75.0,88.0,0.4725333
160.0,54.0,20.041897
214.0,13.0,30.652246
458.0,39.0,83.90044
362.0,5.0,41.17124
267.0,37.0,47.441998
485.0,10.0,90.18259
111.0,73.0,6.5836067
134.0,6.0,8.539969
144.0,4.0,7.0882406
150.0,7.0,11.840437
148.0,3.0,5.6255736
154.0,6.0,10.727475
153.0,2.0,3.992503
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
156.0,73.0,10.010691
144.0,19.0,19.81026
134.0,3.0,4.5889497
134.0,3.0,4.6529245
129.0,18.0,16.205143
126.0,16.0,14.972545
125.0,3.0,3.983721
125.0,3.0,4.1044645
126.0,7.0,8.513954
199.0,8.0,20.97786
235.0,66.0,22.056303
163.0,49.0,22.541872
164.0,65.0,15.196596
163.0,58.0,18.670841
172.0,58.0,19.916426
181.0,5.0,12.414449
186.0,5.0,13.046852
190.0,5.0,13.624848
197.0,14.0,28.058306
197.0,61.0,21.450811
197.0,8.0,20.404808
198.0,9.0,22.158415
198.0,10.0,23.62884
197.0,12.0,25.970243
195.0,6.0,16.195925
192.0,12.0,25.129982
190.0,9.0,20.598461
193.0,24.0,32.409664
189.0,11.0,23.180582
185.0,5.0,12.908453
185.0,6.0,14.901066
195.0,5.0,14.129817
192.0,17.0,29.280409
184.0,45.0,27.77361
185.0,56.0,22.828463
179.0,56.0,21.933027
167.0,47.0,23.94782
174.0,5.0,11.591383
176.0,56.0,21.496216
170.0,47.0,24.506786
165.0,47.0,23.653912
164.0,47.0,23.42734
160.0,13.0,19.478626
160.0,8.0,14.237888
177.0,88.0,1.3935664
177.0,45.0,26.48706
175.0,45.0,26.100304
166.0,30.0,26.940084
160.0,50.0,21.645575
167.0,50.0,22.82439
160.0,52.0,20.86564
160.0,50.0,21.68617
160.0,50.0,21.68617
162.0,50.0,21.984152
161.0,50.0,21.814844
167.0,17.0,23.713636
167.0,35.0,26.92292
160.0,50.0,21.686165
165.0,16.0,22.871649
165.0,30.0,26.760485
160.0,50.0,21.665705
160.0,35.0,25.423702
160.0,48.0,22.372818
160.0,47.0,22.71106
160.0,49.0,22.015097
160.0,49.0,22.064709
160.0,50.0,21.686155
160.0,50.0,21.686155
160.0,48.0,22.395374
160.0,46.0,23.052286
160.0,51.0,21.2836
160.0,48.0,22.380327
199.0,8.0,20.97786
235.0,66.0,22.056303
163.0,49.0,22.541872
164.0,65.0,15.196596
163.0,58.0,18.670841
172.0,58.0,19.916426
181.0,5.0,12.414449
186.0,5.0,13.046852
190.0,5.0,13.624848
197.0,14.0,28.058306
197.0,61.0,21.450811
197.0,8.0,20.404808
198.0,9.0,22.158415
198.0,10.0,23.62884
197.0,12.0,25.970243
195.0,6.0,16.195925
192.0,12.0,25.129982
190.0,9.0,20.598461
193.0,24.0,32.409664
189.0,11.0,23.180582
185.0,5.0,12.908453
185.0,6.0,14.901066
195.0,5.0,14.129817
192.0,17.0,29.280409
184.0,45.0,27.77361
185.0,56.0,22.828463
179.0,56.0,21.933027
167.0,47.0,23.94782
174.0,5.0,11.591383
176.0,56.0,21.496216
170.0,47.0,24.506786
165.0,47.0,23.653912
164.0,47.0,23.42734
160.0,13.0,19.478626
160.0,8.0,14.237888
177.0,88.0,1.3935664
177.0,45.0,26.48706
175.0,45.0,26.100304
166.0,30.0,26.940084
160.0,50.0,21.645575
167.0,50.0,22.82439
160.0,52.0,20.86564
160.0,50.0,21.68617
160.0,50.0,21.68617
162.0,50.0,21.984152
161.0,50.0,21.814844
167.0,17.0,23.713636
167.0,35.0,26.92292
160.0,50.0,21.686165
165.0,16.0,22.871649
165.0,30.0,26.760485
160.0,50.0,21.665705
160.0,35.0,25.423702
160.0,48.0,22.372818
160.0,47.0,22.71106
160.0,49.0,22.015097
160.0,49.0,22.064709
160.0,50.0,21.686155
160.0,50.0,21.686155
160.0,48.0,22.395374
160.0,46.0,23.052286
160.0,51.0,21.2836
160.0,48.0,22.380327
